fare_id,price,currency_type,payment_method,transfers
MSC-TU-BLU,15,PHP,1,0
MSC-TU-LLN,15,PHP,1,0
MSC-TU-SPÑ,15,PHP,1,0
MSC-TU-SA,15,PHP,1,0
MSC-TU-PD,15,PHP,1,0
MSC-TU-PC,15,PHP,1,0
MSC-TU-SAN,15,PHP,1,0
MSC-TU-VTC,15,PHP,1,0
MSC-TU-DIA,15,PHP,1,0
MSC-TU-PRD,15,PHP,1,0
MSC-TU-EDS,15,PHP,1,0
MSC-TU-NIC,20,PHP,1,0
MSC-TU-FTI,20,PHP,1,0
MSC-TU-BIC,20,PHP,1,0
MSC-TU-SU,25,PHP,1,0
MSC-TU-AA,30,PHP,1,0
MSC-TU-MP,35,PHP,1,0
MSC-TU-SPL,40,PHP,1,0
MSC-TU-PMG,40,PHP,1,0
MSC-TU-GC1,40,PHP,1,0
MSC-TU-ÑA,45,PHP,1,0
MSC-TU-SRL,45,PHP,1,0
MSC-TU-AO,50,PHP,1,0
MSC-TU-TD,55,PHP,1,0
MSC-BLU-TU,15,PHP,1,0
MSC-BLU-LLN,15,PHP,1,0
MSC-BLU-SPÑ,15,PHP,1,0
MSC-BLU-SA,15,PHP,1,0
MSC-BLU-PD,15,PHP,1,0
MSC-BLU-PC,15,PHP,1,0
MSC-BLU-SAN,15,PHP,1,0
MSC-BLU-VTC,15,PHP,1,0
MSC-BLU-DIA,15,PHP,1,0
MSC-BLU-PRD,15,PHP,1,0
MSC-BLU-EDS,15,PHP,1,0
MSC-BLU-NIC,15,PHP,1,0
MSC-BLU-FTI,15,PHP,1,0
MSC-BLU-BIC,20,PHP,1,0
MSC-BLU-SU,25,PHP,1,0
MSC-BLU-AA,30,PHP,1,0
MSC-BLU-MP,30,PHP,1,0
MSC-BLU-SPL,35,PHP,1,0
MSC-BLU-PMG,35,PHP,1,0
MSC-BLU-GC1,40,PHP,1,0
MSC-BLU-ÑA,40,PHP,1,0
MSC-BLU-SRL,45,PHP,1,0
MSC-BLU-AO,50,PHP,1,0
MSC-BLU-TD,55,PHP,1,0
MSC-LLN-TU,15,PHP,1,0
MSC-LLN-BLU,15,PHP,1,0
MSC-LLN-SPÑ,15,PHP,1,0
MSC-LLN-SA,15,PHP,1,0
MSC-LLN-PD,15,PHP,1,0
MSC-LLN-PC,15,PHP,1,0
MSC-LLN-SAN,15,PHP,1,0
MSC-LLN-VTC,15,PHP,1,0
MSC-LLN-DIA,15,PHP,1,0
MSC-LLN-PRD,15,PHP,1,0
MSC-LLN-EDS,15,PHP,1,0
MSC-LLN-NIC,15,PHP,1,0
MSC-LLN-FTI,15,PHP,1,0
MSC-LLN-BIC,20,PHP,1,0
MSC-LLN-SU,25,PHP,1,0
MSC-LLN-AA,25,PHP,1,0
MSC-LLN-MP,30,PHP,1,0
MSC-LLN-SPL,35,PHP,1,0
MSC-LLN-PMG,35,PHP,1,0
MSC-LLN-GC1,35,PHP,1,0
MSC-LLN-ÑA,40,PHP,1,0
MSC-LLN-SRL,45,PHP,1,0
MSC-LLN-AO,45,PHP,1,0
MSC-LLN-TD,55,PHP,1,0
MSC-SPÑ-TU,15,PHP,1,0
MSC-SPÑ-BLU,15,PHP,1,0
MSC-SPÑ-LLN,15,PHP,1,0
MSC-SPÑ-SA,15,PHP,1,0
MSC-SPÑ-PD,15,PHP,1,0
MSC-SPÑ-PC,15,PHP,1,0
MSC-SPÑ-SAN,15,PHP,1,0
MSC-SPÑ-VTC,15,PHP,1,0
MSC-SPÑ-DIA,15,PHP,1,0
MSC-SPÑ-PRD,15,PHP,1,0
MSC-SPÑ-EDS,15,PHP,1,0
MSC-SPÑ-NIC,15,PHP,1,0
MSC-SPÑ-FTI,15,PHP,1,0
MSC-SPÑ-BIC,20,PHP,1,0
MSC-SPÑ-SU,20,PHP,1,0
MSC-SPÑ-AA,25,PHP,1,0
MSC-SPÑ-MP,30,PHP,1,0
MSC-SPÑ-SPL,35,PHP,1,0
MSC-SPÑ-PMG,35,PHP,1,0
MSC-SPÑ-GC1,35,PHP,1,0
MSC-SPÑ-ÑA,40,PHP,1,0
MSC-SPÑ-SRL,40,PHP,1,0
MSC-SPÑ-AO,45,PHP,1,0
