fare_id,origin_id,destination_id
MSC-TU-BLU,TU,BLU
MSC-TU-LLN,TU,LLN
MSC-TU-SPÑ,TU,SPÑ
MSC-TU-SA,TU,SA
MSC-TU-PD,TU,PD
MSC-TU-PC,TU,PC
MSC-TU-SAN,TU,SAN
MSC-TU-VTC,TU,VTC
MSC-TU-DIA,TU,DIA
MSC-TU-PRD,TU,PRD
MSC-TU-EDS,TU,EDS
MSC-TU-NIC,TU,NIC
MSC-TU-FTI,TU,FTI
MSC-TU-BIC,TU,BIC
MSC-TU-SU,TU,SU
MSC-TU-AA,TU,AA
MSC-TU-MP,TU,MP
MSC-TU-SPL,TU,SPL
MSC-TU-PMG,TU,PMG
MSC-TU-GC1,TU,GC1
MSC-TU-ÑA,TU,ÑA
MSC-TU-SRL,TU,SRL
MSC-TU-AO,TU,AO
MSC-TU-TD,TU,TD
MSC-BLU-TU,BLU,TU
MSC-BLU-LLN,BLU,LLN
MSC-BLU-SPÑ,BLU,SPÑ
MSC-BLU-SA,BLU,SA
MSC-BLU-PD,BLU,PD
MSC-BLU-PC,BLU,PC
MSC-BLU-SAN,BLU,SAN
MSC-BLU-VTC,BLU,VTC
MSC-BLU-DIA,BLU,DIA
MSC-BLU-PRD,BLU,PRD
MSC-BLU-EDS,BLU,EDS
MSC-BLU-NIC,BLU,NIC
MSC-BLU-FTI,BLU,FTI
MSC-BLU-BIC,BLU,BIC
MSC-BLU-SU,BLU,SU
MSC-BLU-AA,BLU,AA
MSC-BLU-MP,BLU,MP
MSC-BLU-SPL,BLU,SPL
MSC-BLU-PMG,BLU,PMG
MSC-BLU-GC1,BLU,GC1
MSC-BLU-ÑA,BLU,ÑA
MSC-BLU-SRL,BLU,SRL
MSC-BLU-AO,BLU,AO
MSC-BLU-TD,BLU,TD
MSC-LLN-TU,LLN,TU
MSC-LLN-BLU,LLN,BLU
MSC-LLN-SPÑ,LLN,SPÑ
MSC-LLN-SA,LLN,SA
MSC-LLN-PD,LLN,PD
MSC-LLN-PC,LLN,PC
MSC-LLN-SAN,LLN,SAN
MSC-LLN-VTC,LLN,VTC
MSC-LLN-DIA,LLN,DIA
MSC-LLN-PRD,LLN,PRD
MSC-LLN-EDS,LLN,EDS
MSC-LLN-NIC,LLN,NIC
MSC-LLN-FTI,LLN,FTI
MSC-LLN-BIC,LLN,BIC
MSC-LLN-SU,LLN,SU
MSC-LLN-AA,LLN,AA
MSC-LLN-MP,LLN,MP
MSC-LLN-SPL,LLN,SPL
MSC-LLN-PMG,LLN,PMG
MSC-LLN-GC1,LLN,GC1
MSC-LLN-ÑA,LLN,ÑA
MSC-LLN-SRL,LLN,SRL
MSC-LLN-AO,LLN,AO
MSC-LLN-TD,LLN,TD
MSC-SPÑ-TU,SPÑ,TU
MSC-SPÑ-BLU,SPÑ,BLU
MSC-SPÑ-LLN,SPÑ,LLN
MSC-SPÑ-SA,SPÑ,SA
MSC-SPÑ-PD,SPÑ,PD
MSC-SPÑ-PC,SPÑ,PC
MSC-SPÑ-SAN,SPÑ,SAN
MSC-SPÑ-VTC,SPÑ,VTC
MSC-SPÑ-DIA,SPÑ,DIA
MSC-SPÑ-PRD,SPÑ,PRD
MSC-SPÑ-EDS,SPÑ,EDS
MSC-SPÑ-NIC,SPÑ,NIC
MSC-SPÑ-FTI,SPÑ,FTI
MSC-SPÑ-BIC,SPÑ,BIC
MSC-SPÑ-SU,SPÑ,SU
MSC-SPÑ-AA,SPÑ,AA
MSC-SPÑ-MP,SPÑ,MP
MSC-SPÑ-SPL,SPÑ,SPL
MSC-SPÑ-PMG,SPÑ,PMG
MSC-SPÑ-GC1,SPÑ,GC1
MSC-SPÑ-ÑA,SPÑ,ÑA
MSC-SPÑ-SRL,SPÑ,SRL
MSC-SPÑ-AO,SPÑ,AO
MSC-SPÑ-TD,SPÑ,TD
MSC-SA-TU,SA,TU
MSC-SA-BLU,SA,BLU
MSC-SA-LLN,SA,LLN
MSC-SA-SPÑ,SA,SPÑ
MSC-SA-PD,SA,PD
MSC-SA-PC,SA,PC
MSC-SA-SAN,SA,SAN
MSC-SA-VTC,SA,VTC
MSC-SA-DIA,SA,DIA
MSC-SA-PRD,SA,PRD
MSC-SA-EDS,SA,EDS
MSC-SA-NIC,SA,NIC
MSC-SA-FTI,SA,FTI
MSC-SA-BIC,SA,BIC
MSC-SA-SU,SA,SU
MSC-SA-AA,SA,AA
MSC-SA-MP,SA,MP
MSC-SA-SPL,SA,SPL
MSC-SA-PMG,SA,PMG
MSC-SA-GC1,SA,GC1
MSC-SA-ÑA,SA,ÑA
MSC-SA-SRL,SA,SRL
MSC-SA-AO,SA,AO
MSC-SA-TD,SA,TD
MSC-PD-TU,PD,TU
MSC-PD-BLU,PD,BLU
MSC-PD-LLN,PD,LLN
MSC-PD-SPÑ,PD,SPÑ
MSC-PD-SA,PD,SA
MSC-PD-PC,PD,PC
MSC-PD-SAN,PD,SAN
MSC-PD-VTC,PD,VTC
MSC-PD-DIA,PD,DIA
MSC-PD-PRD,PD,PRD
MSC-PD-EDS,PD,EDS
MSC-PD-NIC,PD,NIC
MSC-PD-FTI,PD,FTI
MSC-PD-BIC,PD,BIC
MSC-PD-SU,PD,SU
MSC-PD-AA,PD,AA
MSC-PD-MP,PD,MP
MSC-PD-SPL,PD,SPL
MSC-PD-PMG,PD,PMG
MSC-PD-GC1,PD,GC1
MSC-PD-ÑA,PD,ÑA
MSC-PD-SRL,PD,SRL
MSC-PD-AO,PD,AO
MSC-PD-TD,PD,TD
MSC-PC-TU,PC,TU
MSC-PC-BLU,PC,BLU
MSC-PC-LLN,PC,LLN
MSC-PC-SPÑ,PC,SPÑ
MSC-PC-SA,PC,SA
MSC-PC-PD,PC,PD
MSC-PC-SAN,PC,SAN
MSC-PC-VTC,PC,VTC
MSC-PC-DIA,PC,DIA
MSC-PC-PRD,PC,PRD
MSC-PC-EDS,PC,EDS
MSC-PC-NIC,PC,NIC
MSC-PC-FTI,PC,FTI
MSC-PC-BIC,PC,BIC
MSC-PC-SU,PC,SU
MSC-PC-AA,PC,AA
MSC-PC-MP,PC,MP
