shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SB,14.6115627,120.9731973,0
SB,14.6126926,120.9734599,1
SB,14.6130993,120.9735489,2
SB,14.6138209,120.9737100,3
SB,14.6144544,120.9738558,4
SB,14.6155113,120.9740698,5
SB,14.6163918,120.9741757,6
SB,14.6169291,120.9742208,7
SB,14.6172746,120.9742699,8
SB,14.6200074,120.9746909,9
SB,14.6210491,120.9748200,10
SB,14.6213509,120.9748676,11
SB,14.6218601,120.9751560,12
SB,14.6222752,120.9754809,13
SB,14.6226469,120.9759241,14
SB,14.6229926,120.9765710,15
SB,14.6231550,120.9772947,16
SB,14.6231389,120.9780113,17
SB,14.6231261,120.9781355,18
SB,14.6231147,120.9782932,19
SB,14.6229929,120.9795527,20
SB,14.6229929,120.9795527,21
SB,14.6227515,120.9819641,22
SB,14.6226637,120.9828479,23
SB,14.6226645,120.9828824,24
SB,14.6226645,120.9828824,25
SB,14.6226584,120.9829546,26
SB,14.6226104,120.9834584,27
SB,14.6223178,120.9865418,28
SB,14.6221865,120.9870032,29
SB,14.6220121,120.9873465,30
SB,14.6217317,120.9877612,31
SB,14.6204442,120.9890195,32
SB,14.6192754,120.9901010,33
SB,14.6182506,120.9911349,34
SB,14.6171462,120.9921687,35
SB,14.6164232,120.9928512,36
SB,14.6161006,120.9931641,37
SB,14.6150228,120.9941407,38
SB,14.6139864,120.9951664,39
SB,14.6130261,120.9960691,40
SB,14.6128690,120.9962171,41
SB,14.6127973,120.9962874,42
SB,14.6124293,120.9966336,43
SB,14.6117143,120.9973353,44
SB,14.6106367,120.9983689,45
SB,14.6095692,120.9993845,46
SB,14.6085229,121.0003737,47
SB,14.6074665,121.0014112,48
SB,14.6064794,121.0023736,49
SB,14.6053506,121.0034155,50
SB,14.6053506,121.0034155,51
SB,14.6052788,121.0034830,52
SB,14.6052788,121.0034830,53
SB,14.6041463,121.0045947,54
SB,14.6037921,121.0050689,55
SB,14.6034875,121.0055807,56
SB,14.6033093,121.0060009,57
SB,14.6031573,121.0064362,58
SB,14.6029486,121.0071340,59
SB,14.6027483,121.0077397,60
SB,14.6024595,121.0081769,61
SB,14.6023231,121.0083624,62
SB,14.6021997,121.0085413,63
