trip_id,route_id,service_id,shape_id,trip_headsign
MSC 621,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 711,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 801,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 831,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 931,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1021,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1041,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1211,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1311,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1421,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1551,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1611,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1711,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1811,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1851,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 1921,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 2041,MSC,EVERYDAY,NB,MSC to Tutuban (Northbound)
MSC 558,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 618,MSC,EVERYDAY,SB,MSC to FTI (Southbound)
MSC 658,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 808,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 838,MSC,EVERYDAY,SB,MSC to FTI (Southbound)
MSC 938,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1038,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1138,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1338,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1408,MSC,EVERYDAY,SB,MSC to FTI (Southbound)
MSC 1438,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1538,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1638,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1708,MSC,EVERYDAY,SB,MSC to FTI (Southbound)
MSC 1808,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
MSC 1908,MSC,EVERYDAY,SB,MSC to Mamatid (Southbound)
MSC 1938,MSC,EVERYDAY,SB,MSC to Alabang (Southbound)
