,,MSC 621,MNC 641,MSC 711,MSC 731,MSC 751,MNC 811,MSC 851,MNC 921,MSC 931,MSC 1011,MSC 1041,MNC 1101,MSC 1121,MSC 1221,MSC 1331,MSC 1421,MSC 1441,MNC 1551,MSC 1611,MNC 1651,MSC 1711,MSC 1731,MSC 1801,MSC 1821,MNC 1841,MSC 1931,MNC 1941,MSC 2021,MSC 2051,MSC 2111,MSC 2251
Calamba,LA,03:58:00,,04:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamatid,TD,04:09:00,,04:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabuyao,AO,04:20:00,,05:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,SRL,04:27:00,,05:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biñan,ÑA,04:35:00,,05:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro,SPL,04:50:00,,05:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muntinlupa,MP,05:01:00,,05:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabang,AA,05:12:00,,06:02:00,,06:42:00,,,,08:22:00,,09:32:00,,,11:12:00,12:22:00,13:12:00,,,15:02:00,,,16:22:00,,17:12:00,,18:22:00,,,19:42:00,,
Sucat,SU,05:21:00,,06:11:00,,06:51:00,,,,08:31:00,,09:41:00,,,11:21:00,12:31:00,13:21:00,,,15:11:00,,,16:31:00,,17:21:00,,18:31:00,,,19:51:00,,
Bicutan,BIC,05:30:00,05:50:00,06:20:00,,07:00:00,07:20:00,,08:30:00,08:40:00,,09:50:00,10:10:00,,11:30:00,12:40:00,13:30:00,,15:00:00,15:20:00,16:00:00,,16:40:00,,17:30:00,17:50:00,18:40:00,18:50:00,,20:00:00,,
FTI,FTI,05:35:00,05:55:00,06:25:00,06:45:00,07:05:00,07:25:00,08:05:00,08:35:00,08:45:00,09:25:00,09:55:00,10:15:00,10:35:00,11:35:00,12:45:00,13:35:00,13:55:00,15:05:00,15:25:00,16:05:00,16:25:00,16:45:00,17:15:00,17:35:00,17:55:00,18:45:00,18:55:00,19:35:00,20:05:00,20:25:00,22:05:00
Nichols,NIC,05:39:00,05:59:00,06:29:00,06:49:00,07:09:00,07:29:00,08:09:00,08:39:00,08:49:00,09:29:00,09:59:00,10:19:00,10:39:00,11:39:00,12:49:00,13:39:00,13:59:00,15:09:00,15:29:00,16:09:00,16:29:00,16:49:00,17:19:00,17:39:00,17:59:00,18:49:00,18:59:00,19:39:00,20:09:00,20:29:00,22:09:00
