,,MNC 448,MSC 518,MSC 548,MNC 618,MSC 648,MSC 708,MNC 728,MSC 758,MSC 828,MNC 858,MSC 928,MSC 948,MSC 1048,MSC 1148,MSC 1248,MSC 1328,MNC 1358,MSC 1438,MNC 1458,MSC 1528,MSC 1548,MSC 1618,MNC 1638,MSC 1648,MNC 1738,MSC 1808,MSC 1838,MSC 1908,MSC 1928,MSC 2008,MSC 2108
Tutuban,TU,,05:16:00,05:46:00,,06:46:00,07:06:00,,07:56:00,08:26:00,,09:26:00,09:46:00,10:46:00,11:46:00,12:46:00,13:26:00,,14:36:00,,15:26:00,15:46:00,16:16:00,,16:46:00,,18:06:00,18:36:00,19:06:00,19:26:00,20:06:00,21:06:00
Blumentritt,BLU,04:52:00,05:22:00,05:52:00,06:22:00,06:52:00,07:12:00,07:32:00,08:02:00,08:32:00,09:02:00,09:32:00,09:52:00,10:52:00,11:52:00,12:52:00,13:32:00,14:02:00,14:42:00,15:02:00,15:32:00,15:52:00,16:22:00,16:42:00,16:52:00,17:42:00,18:12:00,18:42:00,19:12:00,19:32:00,20:12:00,21:12:00
Laon Laan,LLN,04:56:00,05:26:00,05:56:00,06:26:00,06:56:00,07:16:00,07:36:00,08:06:00,08:36:00,09:06:00,09:36:00,09:56:00,10:56:00,11:56:00,12:56:00,13:36:00,14:06:00,14:46:00,15:06:00,15:36:00,15:56:00,16:26:00,16:46:00,16:56:00,17:46:00,18:16:00,18:46:00,19:16:00,19:36:00,20:16:00,21:16:00
España,SPÑ,04:59:00,05:29:00,05:59:00,06:29:00,06:59:00,07:19:00,07:39:00,08:09:00,08:39:00,09:09:00,09:39:00,09:59:00,10:59:00,11:59:00,12:59:00,13:39:00,14:09:00,14:49:00,15:09:00,15:39:00,15:59:00,16:29:00,16:49:00,16:59:00,17:49:00,18:19:00,18:49:00,19:19:00,19:39:00,20:19:00,21:19:00
Sta. Mesa,SA,05:04:00,05:34:00,06:04:00,06:34:00,07:04:00,07:24:00,07:44:00,08:14:00,08:44:00,09:14:00,09:44:00,10:04:00,11:04:00,12:04:00,13:04:00,13:44:00,14:14:00,14:54:00,15:14:00,15:44:00,16:04:00,16:34:00,16:54:00,17:04:00,17:54:00,18:24:00,18:54:00,19:24:00,19:44:00,20:24:00,21:24:00
Pandacan,PD,05:08:00,05:38:00,06:08:00,06:38:00,07:08:00,07:28:00,07:48:00,08:18:00,08:48:00,09:18:00,09:48:00,10:08:00,11:08:00,12:08:00,13:08:00,13:48:00,14:18:00,14:58:00,15:18:00,15:48:00,16:08:00,16:38:00,16:58:00,17:06:00,17:58:00,18:28:00,18:58:00,19:28:00,19:48:00,20:28:00,21:28:00
Paco,PC,05:12:00,05:42:00,06:12:00,06:42:00,07:12:00,07:32:00,07:52:00,08:22:00,08:52:00,09:22:00,09:52:00,10:12:00,11:12:00,12:12:00,13:12:00,13:52:00,14:22:00,15:02:00,15:22:00,15:52:00,16:12:00,16:42:00,17:02:00,17:12:00,18:02:00,18:32:00,19:02:00,19:32:00,19:52:00,20:32:00,21:32:00
San Andres,SAN,05:15:00,05:45:00,06:15:00,06:45:00,07:15:00,07:35:00,07:55:00,08:25:00,08:55:00,09:25:00,09:55:00,10:15:00,11:15:00,12:15:00,13:15:00,13:55:00,14:25:00,15:05:00,15:25:00,15:55:00,16:15:00,16:45:00,17:05:00,17:15:00,18:05:00,18:35:00,19:05:00,19:35:00,19:55:00,20:35:00,21:35:00
Vito Cruz,VTC,05:17:00,05:47:00,06:17:00,06:47:00,07:17:00,07:37:00,07:57:00,08:27:00,08:57:00,09:27:00,09:57:00,10:17:00,11:17:00,12:17:00,13:17:00,13:57:00,14:27:00,15:07:00,15:27:00,15:57:00,16:17:00,16:47:00,17:07:00,17:17:00,18:07:00,18:37:00,19:07:00,19:37:00,19:57:00,20:37:00,21:37:00
Dela Rosa,DLR,05:21:00,05:51:00,06:21:00,06:51:00,07:21:00,07:41:00,08:01:00,08:31:00,09:01:00,09:31:00,10:01:00,10:21:00,11:21:00,12:21:00,13:21:00,14:01:00,14:31:00,15:11:00,15:31:00,16:01:00,16:21:00,16:51:00,17:11:00,17:21:00,18:11:00,18:41:00,19:11:00,19:41:00,20:01:00,20:41:00,21:41:00
